uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE,R2_flipped
306,unionunion,14.685406220327188,2.1916865845363143,6.700504681619027,2.7451376515980214e-11,10.386977829499202,18.983834611155174,0.09197696708271287,0.6125089917554717
307,unionunion,12.133733507048442,2.289615177252634,5.299464131613597,1.2997575317891226e-7,7.643243419910571,16.62422359418631,0.09526234521693928,0.658912648632231
308,unionunion,16.247814236953566,2.39360424842054,6.788011947954621,1.5241937994370743e-11,11.553378034780268,20.942250439126866,0.09743757841818103,0.7315937473342579
309,unionunion,12.929423083006201,2.1943629117503836,5.89210791604783,4.516935463221105e-9,8.625745766094864,17.23310039991754,0.09218742140288004,0.6070602272028676
310,unionunion,14.28394315095573,2.1895242055201116,6.5237658094593405,8.814944089837756e-11,9.989757216622252,18.57812908528921,0.09193039342767778,0.6143837545073211
311,unionunion,11.761895473707117,2.2870041404914163,5.142927057044942,2.9900191411441305e-7,7.276527836710487,16.24726311070375,0.09516017119493433,0.6605352833224016
312,unionunion,15.90733445125486,2.389321278628382,6.65767914660127,3.650523347158404e-11,11.221299830689311,20.59336907182041,0.09725034737840739,0.7327479063715105
313,unionunion,14.2186689472957,2.265196858243344,6.277012479313719,4.2855721848946376e-10,9.776069099768907,18.661268794822494,0.09464461142817614,0.6446403973886667
314,unionunion,15.414343749264674,2.257485699750062,6.8281024995955795,1.1614330892089365e-11,10.986868905924037,19.84181859260531,0.0943490612279817,0.6504583751080447
315,unionunion,13.021450366131454,2.356927576722168,5.524756252477081,3.765165747199689e-8,8.398945977878387,17.64395475438452,0.09751473065993176,0.6991432369242337
316,unionunion,16.92764570283441,2.448795121466989,6.912642692906722,6.5150439166662974e-12,12.12496854907225,21.730322856596572,0.09920137738256807,0.7664113457490882
317,unionunion,14.64014429548234,2.2573455851867252,6.485557369485064,1.130157022245416e-10,10.212944250650697,19.067344340313984,0.09471489032574341,0.6456986935023988
